Red,Green,Blue
6876,7915,6891
6687,7245,5914
6607,7044,5647
6575,7341,6176
6520,7221,5996
6630,6876,5353
6655,6985,5594
6798,6992,5577
7063,6721,4792
7363,6961,4635
7255,6902,4723
7823,7357,4869
8611,7823,5088
8340,7430,5009
9983,8886,5584
11962,10253,6205
11697,9551,5897
11697,9551,5897
12169,10750,6363
12887,11978,7196
14033,13299,9060
11728,11456,7504
10223,9751,6184
11214,10817,6447
11495,10992,6500
11318,10681,6355
12256,11415,6528
12825,11861,6704
12752,11711,6916
13270,12546,8854
12281,11932,8409
11254,11251,7414
11306,11116,6730
11753,11388,6504
12527,11890,6697
12591,11487,6633
12336,10785,6563
11154,8434,5809
10431,6684,5443
9486,5373,5188
9102,5063,4955
9212,5029,4960
9325,5148,5119
9375,5313,5341
8923,4979,5034
8633,4956,5007
8375,4672,4721
8524,4848,4903
8695,4960,5011
8695,4960,4844
8415,4807,4844
8146,4747,4793
8396,4889,4918
8044,4819,4879
8112,4799,4815
8109,4787,4760
8779,5088,5107
9436,6241,6395
9957,7456,7713
10298,8029,8337
10152,7839,8146
9387,7960,8372
9542,8519,9010
9503,8757,9266
9362,9171,9709
9265,9123,9635
9044,8953,9405
9054,9628,10173
9032,10195,10753
8741,8948,9318
8277,6883,6973
8601,5166,4948
10127,5852,5455
10134,5828,5344
9722,5655,5219
9413,5426,5007
9381,5469,5041
9322,5572,5072
9127,5581,5097
9671,5979,5289
10313,6502,5557
10627,6877,5808
10627,6877,5808
10929,7160,5799
11034,7404,5879
10654,7142,5712
10603,7140,5722
9721,6682,5330
9853,6878,5403
10359,7149,5631
10067,6739,5439
9633,6353,5378
9411,6167,5299
8871,5694,4997
8812,5611,4960
9033,5735,5035
8940,5678,4970
9110,5862,5058
9490,6188,5236
8504,5686,4889
8784,5730,4965
9533,6171,5325
10195,6359,5456
10872,6835,5899
11062,7075,6070
10630,6699,5703
10021,6127,5337
9561,5970,5151
10193,6376,5393
10226,6409,5541
9542,5699,5113
9239,5372,4966
9192,5271,4965
9139,5242,4946
9130,5361,5056
9130,5361,5056
9029,5372,5037
9102,5422,5046
9319,5625,5175
9283,5576,5114
9116,5409,4932
9121,5387,4887
8712,5169,4759
8564,5112,4758
8461,4998,4686
8242,4921,4637
8217,4991,4651
8570,5320,4950
8695,5435,4983
8663,5313,4817
8750,5453,4898
8444,5384,4829
8427,5404,4845
8202,5219,4710
7440,4701,4410
7581,4719,4497
8091,4861,4661
8677,5141,4909
9159,5344,5033
9669,5720,5233
10101,6084,5363
10199,6270,5453
10052,6225,5378
10296,6472,5511
10623,6624,5599
11016,6704,5633
10953,6821,5896
9784,5986,5245
9784,5986,5245
10032,6086,5298
10346,6207,5446
10141,6017,5330
9952,6029,5343
9823,6174,5539
8881,5401,4992
9023,5430,5121
9733,5507,5272
9674,5366,5166
9644,5272,5070
9711,5347,5142
9755,5450,5261
9531,5279,5194
9313,5243,5218
9265,5197,5185
9157,4987,4966
9117,5177,5139
8203,4712,4722
8186,4684,4696
8609,4951,4945
8689,4980,4929
8754,5129,5009
9191,5738,5613
8742,5282,5182
8522,5153,5089
8787,5210,5060
9232,5454,5232
9333,5477,5220
9180,5412,5220
8820,5154,5030
8848,5178,5066
8632,5011,4873
8632,5011,4873
8780,5061,4911
9025,5150,4963
8985,5271,5071
8817,5047,4879
8886,5143,4981
8515,5068,4971
8210,4798,4733
8381,4966,4895
8333,5018,4915
7972,4949,4851
8115,5042,4905
8583,5249,5021
8826,5411,5123
8557,5212,4910
8286,5254,4933
8188,5216,4897
8163,5156,4881
7982,4931,4697
8418,5226,4959
8154,5001,4786
7775,4742,4560
7739,4753,4560
7982,4845,4605
8240,4993,4687
8398,5121,4755
8614,5316,4923
8602,5291,4869
8827,5400,4915
9056,5577,5068
9733,5904,5339
10276,6075,5473
10276,6075,5330
10061,5883,5330
10373,6103,5436
11129,6678,5848
11206,6699,5795
11174,6675,5736
11150,6706,5767
10812,6485,5640
10203,5994,5270
10746,6403,5597
10747,6422,5627
10454,6121,5366
10142,5933,5205
10264,6129,5404
9721,5719,5129
9924,5804,5306
9700,5509,5207
9196,5113,5037
8662,4663,4665
8459,4582,4598
8363,4659,4610
8135,4737,4624
7933,4603,4445
7874,4834,4562
7769,5034,4585
7983,5253,4606
8503,5627,4796
9162,6146,5160
9176,6133,5101
9187,6016,4912
9528,6197,4983
9459,6233,5033
8390,5667,4809
8390,5667,4809
8516,5569,4828
9122,5806,5054
8872,5523,4888
8191,5103,4645
8163,5181,4816
8174,5176,4824
7327,4769,4489
7523,4795,4503
7971,4827,4532
8438,4907,4619
8669,5087,4787
9305,5675,5348
9355,5622,5293
9306,5636,5330
9110,5469,5211
9373,5492,5268
9369,5499,5291
9292,5444,5293
9110,5277,5172
8904,5173,5078
8322,4987,4911
8156,4972,4916
8214,4827,4820
7775,4618,4689
7958,4700,4779
8030,4719,4792
8002,4741,4811
8127,4881,4936
8221,4929,4995
7923,4679,4761
7834,4700,4782
7825,4815,4894
7825,4815,4894
7928,4996,5058
7859,5019,5065
8069,5047,5081
8202,4702,4671
8493,5253,5253
8210,4997,5018
7897,4743,4783
8001,4814,4871
7632,4502,4529
8103,4979,4995
8077,4843,4864
8244,4873,4860
8341,4794,4785
7862,4606,4631
7463,4559,4600
7207,4540,4584
6959,4459,4509
6505,4198,4273
6369,4067,4144
6650,4221,4287
6775,4194,4252
6904,4161,4220
7590,4517,4557
7473,4362,4388
7538,4531,4534
7586,4652,4610
7829,4857,4783
8268,5053,4947
8703,5131,5031
8669,5038,4958
8844,5065,4991
8583,4968,4914
8583,4968,4914
8555,4968,4897
8328,4957,4857
8446,5104,4982
8710,5214,4992
8975,5466,5192
8783,5331,5028
8900,5465,5107
9300,5592,5160
9521,5722,5221
10092,6205,5616
9668,5681,5120
9786,5877,5391
9473,5603,5167
10101,6047,5537
10422,6254,5679
10299,6174,5598
10443,6206,5634
10638,6430,5893
10605,6344,5756
10096,5725,5154
9996,5829,5331
9497,5632,5203
9888,5735,5216
9803,5645,5117
9422,5417,4887
9676,5752,5196
9849,6018,5472
10327,6067,5439
10435,6105,5505
10190,5925,5427
9573,5418,5109
9400,5221,5067
9400,5221,5067
8990,4922,4883
8809,4968,4971
8783,4951,4951
8475,4706,4745
8515,4766,4792
8699,5029,5056
8961,5184,5195
8777,5002,4976
8392,4844,4743
8294,4870,4689
8972,5255,5012
8942,5198,4888
9097,5315,4944
9086,5519,4990
9155,5811,5129
9119,5795,5016
8430,5451,4728
8070,5233,4541
7974,5192,4510
8103,5288,4569
8277,5357,4618
8147,5337,4599
8442,5476,4694
8619,5514,4727
8339,5416,4733
7860,5225,4642
7777,5181,4621
7738,5150,4615
7770,5142,4653
7658,5000,4589
7445,4800,4493
7445,4800,4493
7032,4559,4342
6717,4354,4218
6444,4245,4195
6420,4306,4281
6605,4529,4491
6580,4443,4415
6484,4203,4209
6599,4153,4167
6342,4174,4161
6518,4309,4248
6796,4399,4280
6641,4373,4248
6863,4505,4330
6745,4476,4324
6684,4421,4308
6576,4365,4263
6660,4431,4315
6710,4439,4306
6915,4514,4389
7033,4469,4376
7379,4633,4537
7479,4744,4645
7343,4773,4720
6976,4582,4595
6823,4503,4532
7143,4754,4767
7201,4720,4745
6835,4545,4587
6823,4494,4525
6823,4470,4488
6292,4119,4147
6495,4235,4281
6495,4235,4281
6757,4349,4400
6632,4351,4381
6683,4331,4364
6868,4462,4509
6950,4541,4596
6668,4386,4423
6143,4104,4152
5836,4012,4062
5886,4183,4229
5615,4057,4117
6058,4257,4308
6207,4348,4393
6165,4284,4330
6161,4264,4304
6296,4391,4416
6323,4388,4403
6425,4393,4419
6198,4256,4298
6227,4275,4312
6431,4385,4440
6478,4328,4377
6525,4394,4464
6821,4594,4660
6386,4500,4574
5663,4015,4077
5989,4047,4104
7137,4530,4525
8156,4904,4812
8407,5144,4982
8532,5098,4959
8307,4950,4837
7310,4528,4467
7310,4528,4467
7583,4675,4566
7368,4715,4557
7100,4223,3980
8343,5090,4780
7564,4562,4341
7191,4474,4307
7255,4421,4370
7883,4627,4581
8224,4907,4874
7601,4593,4569
7072,4406,4399
7315,4461,4445
7649,4678,4638
7414,4615,4574
7480,4749,4710
7662,4764,4679
7902,4756,4641
7513,4398,4307
8027,4889,4668
8146,4958,4732
8007,5014,4792
8150,5061,4697
8796,5678,4994
9218,6133,5024
8935,5886,4955
9873,7558,5498
9536,8103,5472
8917,7643,5201
8734,7508,5138
