Red,Green,Blue
6639,8875,7871
6557,8779,7811
6496,8708,7827
6919,9179,8101
7067,9339,8166
6847,8990,7834
7081,9007,7481
8098,9314,6526
8113,8806,5697
7098,8384,6484
7098,8384,6484
6636,8458,7453
7218,9057,7651
7045,8716,7544
7054,8814,7776
7512,9206,7974
7342,8988,7941
6941,8652,7680
6861,8626,7779
6853,8581,7800
6631,8354,7645
6641,8245,7349
6552,8090,7083
6285,8012,7367
5641,7411,7004
5696,7463,7021
6129,7860,7270
6073,7813,7238
6158,7896,7228
6032,7761,7021
6233,8019,7145
6504,8348,7428
6583,8481,7375
6894,8670,7279
6979,8547,7343
7363,8932,7261
7543,9099,6879
7387,9044,7337
7346,8992,7540
7508,9150,7804
7849,9485,8137
7782,9063,6876
7782,9063,6876
7388,8563,6216
8348,10107,7912
8894,10939,8969
9458,11486,9245
9436,11401,9171
8842,10847,8881
7804,9466,8004
7526,9014,7740
7949,9571,8079
6978,8347,6597
5142,6281,5235
4978,6029,4615
5894,7225,5200
8384,10325,5965
9283,11229,6101
11899,13388,6641
13580,15430,7481
13785,15051,7365
12480,13310,6845
17255,18815,8618
19591,22402,9910
19406,22874,10546
19946,23760,11205
19497,23191,10693
18551,21623,9736
17543,21197,9253
16364,20159,9113
15779,19478,9248
14620,18135,9342
17706,21348,10910
18715,21444,10298
21622,23870,10465
21622,23870,10465
20247,21832,9547
18547,19699,9083
19240,20416,9406
19758,21237,10161
21090,22911,10653
20720,22935,10303
20352,22916,9964
19491,22568,10001
19466,22897,10342
17899,21344,9147
17196,20876,8732
16908,20734,8770
15442,19068,8502
13881,17102,8536
13062,16299,8228
16679,21076,9832
18597,23242,10800
17563,21836,10325
17095,21227,9909
16044,19238,8472
15968,18520,8336
16427,18778,8950
16729,19344,8897
16334,19670,8881
16102,19837,9361
15990,19809,9944
15142,18649,9239
15712,19000,8852
16894,20520,9191
17964,22129,10424
16513,20605,9813
15751,19802,9768
15751,19802,9768
15449,19372,9530
15113,18874,9082
14903,18673,8792
14901,18634,8906
15616,19400,9340
16197,19991,9571
16760,20161,9680
17697,20357,10044
20314,22987,10836
20463,22855,10287
20298,22544,9801
19776,21930,9581
18784,20813,9028
18302,20220,8791
18352,20259,9418
16786,18491,8376
15488,17087,7771
17024,18412,8078
17356,18638,8584
18443,19811,8937
19286,20760,9224
19847,21358,9294
19433,20851,8995
18901,20369,8802
17980,19519,8645
17600,19372,9119
18666,20748,9559
18472,20592,9775
17064,18601,8660
19292,20815,9255
20303,21918,9424
21646,23195,10771
21646,23195,10771
22099,23886,11141
21013,22676,10135
21812,23419,10500
23037,24677,11044
6050,6358,2975
17987,20267,10474
19691,21825,10384
19596,21659,9593
20178,22693,9918
20347,23081,9899
21130,23840,10603
21555,24281,10787
20906,23646,10729
20315,22736,10269
20170,22351,9816
20016,21957,9513
19615,21146,9210
19329,20503,8858
19186,20280,8860
18921,19976,8866
18574,19624,8796
18033,19053,8507
18867,20096,8921
18516,20012,9159
18254,19860,9022
18254,19860,9022
17940,19558,9072
17234,18592,8660
16690,17838,8370
17471,18448,8579
18835,19699,9106
19845,20605,9387
20603,21233,9321
21242,21847,9390
22203,22940,9880
22725,23595,10096
22205,23201,9901
21955,23074,9874
22321,23910,10686
5690,6075,2736
23699,25250,10876
22211,23448,10029
22719,23915,10281
6382,6768,3125
6044,6545,3297
22617,23781,11114
23255,24229,10615
6579,6665,2973
6326,6459,3076
22033,22079,9617
21717,21712,9398
20201,20236,8884
18914,19133,8573
19063,19463,8659
18701,19359,8608
18066,18943,8784
17628,18657,8909
17310,18223,8556
16919,17760,8355
16780,17515,8248
17040,17678,8382
17168,17667,8294
17674,18111,8682
18817,19211,9158
20646,20872,9289
22523,22896,9950
22303,22711,9794
21699,22114,9546
22010,22416,9622
22010,22416,9886
22550,23115,9886
22975,23777,10191
5399,5753,2503
22221,23307,10056
6474,6661,2855
6313,6453,2746
6349,6484,2822
6364,6486,2762
6406,6559,2909
23843,24374,10513
23883,24235,10509
6554,6589,2903
6760,6814,2957
6557,6595,2864
21092,21120,9559
19687,19729,9298
18614,18588,9036
18922,18498,8579
18966,18266,8401
19037,18333,8248
19045,18834,8489
19122,19487,9172
20343,20386,9263
20506,20191,8979
19986,19970,8807
20417,20872,9214
17946,18370,8182
17431,17607,7853
18273,18186,8073
18812,18693,8311
19428,19305,8538
20141,19967,8963
20057,19811,8852
20140,19971,8906
21112,21279,9579
22101,22865,10496
4631,4806,2109
25212,26137,11318
6049,6156,2675
6350,6461,2876
23950,24211,10483
6227,6326,3068
16325,16024,8453
18438,17607,8225
18880,18085,8153
19480,18821,8454
19933,19590,8703
20971,21264,9553
20512,20952,9259
20501,21028,9212
19322,19706,9014
18720,19055,8498
18807,19089,8413
18891,18949,8374
19780,19807,8672
21769,21588,9451
21769,21588,9451
21746,21297,9395
21624,21240,9314
20802,20608,9115
20271,20265,9105
21039,21253,9217
21626,22159,9580
21198,21885,9693
19489,19979,9019
18419,18891,9064
20710,21177,9817
22306,22817,9764
22211,22743,9745
22922,23499,10054
23892,24344,10431
23594,24211,10841
22684,23308,10405
22116,22755,10430
21192,21848,10453
22512,22777,10193
23708,23829,10518
23638,24067,11133
6280,6399,2951
17604,17878,9343
18946,18560,8847
20765,19987,8951
20765,19987,8951
19850,19212,8818
18972,18921,8956
19897,19759,9115
20266,20043,9014
20723,21300,9553
20545,21586,9993
20094,20896,9113
19907,20625,8902
19802,20127,8884
19192,19100,8812
20374,20032,9180
22430,21892,9689
22936,22347,9761
23031,22386,9699
23700,23184,10214
24003,23583,10198
5597,5563,2443
25744,26394,11349
6389,6576,3056
6470,6577,2871
6436,6581,2947
6304,6549,3138
6304,6549,3138
6234,6570,3320
6235,6607,3406
6371,6671,3321
6438,6558,2954
23078,23187,10336
19232,19435,9573
21958,21958,9934
24151,24227,10564
6563,6608,2820
6455,6519,2836
6408,6483,2797
6363,6449,2765
6386,6501,2879
