Red,Green,Blue
8540,9532,9524
13034,16526,16833
15887,20888,21327
12120,15573,15654
10666,12893,13062
8881,10038,10381
6943,7368,7428
7268,7655,7804
7608,8308,8426
9720,11489,11802
7918,8487,8663
7339,7205,7410
6513,5594,5765
6513,5594,5765
6385,5274,5346
7392,7126,7297
8940,9758,9974
7331,7371,7545
7441,7581,7717
6993,6786,6998
7710,8078,8314
8591,9326,9618
8189,8701,9029
10464,12216,12685
10337,12020,12515
9138,9855,10244
10511,11838,12260
10710,11975,12377
8416,8189,8496
7501,7069,7319
6839,6302,6525
5786,4751,4859
5572,4442,4503
6007,4920,5043
6472,5291,5472
7356,6704,6964
7013,6240,6455
7545,6807,7034
9781,10087,10409
14336,17070,17527
2666,3031,3133
12987,19538,20499
5411,6824,7069
5656,7175,7431
5502,6988,7221
5650,7186,7418
4878,6053,6295
11094,13279,13515
10169,11774,12021
8386,8614,8799
6321,4846,4921
5717,4089,4118
6151,4725,4790
6040,4385,4465
6153,4369,4436
6256,4249,4312
6471,4236,4301
6515,4119,4211
6542,4137,4257
6394,4015,4107
6503,4248,4346
6423,4396,4489
6450,4842,4955
9546,9281,9670
9610,9539,9897
9610,4858,4977
6273,4809,4928
5642,4262,4340
6167,5290,5436
9740,11106,11468
11006,13005,13436
11391,13829,14244
9091,10592,10876
8946,10567,10842
7535,8769,8945
4629,4352,4346
4659,4584,4601
5144,5719,5738
13828,19154,19405
12083,16496,16681
6556,8201,8235
7428,9757,9796
6698,9012,9061
3939,4599,4653
3938,4605,4580
4001,4654,4670
3742,4322,4328
4206,4787,4819
4425,4823,4839
4461,4730,4710
4405,4672,4654
4506,4784,4773
5266,5817,5905
4526,4453,4524
4398,4030,4082
4622,4226,4283
4404,3993,4045
4813,4611,4609
4813,4611,4175
4904,4184,4175
5217,4091,4111
5372,4028,4087
5709,4201,4271
5631,4106,4157
6020,4715,4787
5595,4115,4189
5721,4281,4364
5722,4294,4400
5624,4112,4171
5698,4150,4222
5607,4017,4060
5522,3951,4047
5404,3854,3894
5660,4186,4212
5771,4310,4327
5657,4148,4170
5823,4279,4347
5863,4326,4352
6655,5671,5826
5912,4786,4850
5774,4702,4734
5692,4705,4759
5844,4838,4885
5738,4717,4725
5683,4660,4710
5353,4387,4403
5036,4184,4185
5185,4386,4391
5169,4747,4790
4706,4190,4177
4341,3781,3786
4341,3781,3786
4440,3975,3914
4376,3962,4036
4212,3829,3842
4412,4046,4099
4151,3883,3866
4198,4086,4083
7539,9676,9787
8491,11065,11277
7050,8948,9107
6823,8667,8902
5239,6299,6391
4090,4581,4617
4109,4706,4711
4286,4846,4913
3898,4134,4078
4043,4370,4303
3896,4156,4150
4283,4542,4459
4026,4228,4150
4353,4725,4677
3962,4295,4218
5920,7806,7835
9272,13082,13104
11274,16100,16187
9683,13697,13721
6189,8186,8184
4034,4716,4665
3428,3916,3885
3554,4102,4077
3697,4285,4267
3924,4581,4550
4537,5569,5512
4537,5569,5512
5503,7002,7041
5666,7538,7525
5544,7576,7514
5102,6833,6836
4742,6164,6082
4486,5488,5428
4344,4495,4497
4669,4146,4146
4828,4309,4283
4931,4490,4564
4594,4093,4115
4382,4207,4168
4054,4116,4106
3770,4070,4024
3528,3900,3806
3573,3968,3968
3928,4619,4614
3807,4516,4496
3459,4033,4006
3430,3915,3840
3709,4148,4157
3836,4316,4320
3627,3959,3929
3690,3919,3885
4000,4005,3984
4203,4049,4051
4568,4236,4216
4572,4084,4081
4954,4182,4222
5286,4187,4206
5843,4253,4338
6279,4276,4372
6279,4276,4372
6544,4087,4164
7128,4605,4714
8317,6008,6203
8811,6626,6866
9688,7994,8249
9328,7604,7851
9550,8990,9066
13445,14667,14668
12996,14825,14798
15329,18624,18373
18651,21608,21809
7426,8853,8869
9739,12056,12487
12748,16391,16738
12971,16693,17029
13347,17121,17464
13825,17600,17910
13791,17538,17852
14244,18099,18425
13288,16734,17199
9469,11383,11901
7518,8780,9073
7068,8222,8555
6230,7277,7660
872,11846,11548
7043,8572,8361
7561,9364,9183
8478,9973,10264
10249,12162,12752
12453,15236,15878
10244,12285,12912
8822,10539,10944
8610,10333,10698
9837,12028,12539
13547,17091,17554
12064,15188,15694
8226,9903,10088
8822,10803,11119
10255,12923,13299
8270,10352,10545
5883,7222,7215
5689,7380,7467
4776,6106,6033
17183,22925,23105
12775,16587,16883
12883,16794,17067
11843,15582,15857
10813,14310,14557
10813,14310,14557
10165,13429,13642
9725,12837,13039
9945,12945,13100
9666,12697,12898
10732,14104,14380
10432,13661,13948
