Red,Green,Blue
3814,5804,5047
3682,5584,4859
3521,5290,4604
3667,5498,4683
3651,5579,4596
3640,5543,4597
3381,5261,4159
4035,6668,4374
4945,8145,4799
6893,11689,5927
6893,11689,5927
7845,13108,6584
8025,13280,6543
8474,13788,6699
9145,14876,7026
9388,15176,7269
8879,14613,6960
8280,13783,6721
7646,12842,6378
7013,11697,6014
6722,11456,5820
6884,11915,6114
6647,11593,5955
6617,11541,5829
6550,11426,5747
6332,10957,5667
6194,10760,5563
5841,10018,5397
5727,9898,5260
5733,9960,5268
5952,10396,5577
6022,10558,5705
5982,10483,5599
6011,10580,5631
6084,10632,6019
5402,9698,5484
5048,8993,5319
4871,8786,5216
4649,8376,5060
4438,8075,4881
4520,8105,4988
4563,8440,5038
4357,8358,4774
4357,8358,4774
4722,9085,5200
4842,9214,5325
4706,8898,5178
4516,8413,4888
4758,8934,4954
4988,9321,5233
5281,9587,5393
5430,9366,5171
5668,9418,5203
5937,9843,5468
5991,9898,5593
6408,10571,6037
7616,12261,7005
8096,12844,7237
7905,12574,6870
8183,13065,7021
7313,11613,6210
7335,11709,6248
8185,13174,6780
7773,12352,6475
5515,9052,5158
5653,9769,5474
5386,9322,5508
5352,9706,5571
5798,10921,6137
6070,11257,6623
4942,9200,5540
4726,9188,5627
4438,8741,5358
4152,8075,5008
4496,8512,5242
4289,8161,4994
4289,8161,4994
5028,9237,5568
5219,9345,5542
5598,9882,5673
6394,11365,6318
6555,11378,6241
6623,11369,6285
6945,11946,6617
6919,12128,6449
6749,11812,6345
6320,10941,6197
6043,10693,6117
5958,10455,5968
6049,10863,6133
5710,10261,6225
6021,10679,6991
5041,9494,5708
5021,9707,5537
4835,9235,5506
4374,8226,5118
4189,7729,4945
4482,8476,5165
4589,8606,5135
4748,8616,5214
4863,8681,5203
5439,9467,5663
5583,9628,5762
5626,9650,5735
6077,10432,6007
6272,10798,6128
6592,11375,6366
6843,11796,6672
6435,11029,6309
6435,11029,6309
6473,11291,6334
6633,11776,6319
6827,12187,6500
7087,12528,6850
6812,12205,6345
6968,12413,6537
6815,11863,6432
6753,11777,6288
6707,11750,6123
7213,12430,6689
6840,11978,6274
6862,12051,6283
7044,12307,6479
7282,12563,6840
7062,12261,6568
6914,12024,6380
6957,12053,6398
7367,12593,6881
7222,12475,6553
7094,12291,6331
7223,12322,6413
7861,12988,6714
8199,13280,6776
8429,13550,6903
8913,14205,7110
8985,14412,7101
8785,14060,6932
8669,13810,6855
8944,14328,7017
8963,14416,6975
9617,15350,7480
9838,15574,7671
9838,15574,7671
9354,14622,7164
9275,14370,7110
9338,14508,7238
9671,15202,7383
8887,14006,6938
8395,13378,6645
8476,13792,6954
7708,12687,6600
7377,12150,6480
6810,11536,6138
6267,10879,5960
6411,11237,6453
6360,11222,6399
5899,10711,6012
5660,10499,5890
5653,10483,5917
5479,10195,5915
5247,9830,5840
4753,9058,5419
4651,8997,5514
4479,8688,5398
4203,8136,5110
4121,8118,5008
4214,8251,5164
4141,7848,5124
3953,7557,4929
3913,7698,4879
3932,7693,4914
3953,7615,4959
3998,7555,4983
3973,7528,4954
3973,7528,4954
4110,7812,5096
4137,7905,5144
4065,8051,5071
4146,8325,5153
4356,8651,5473
4074,8198,5245
4235,8529,5539
4221,8510,5555
3930,7864,5260
3676,7697,5026
3671,7628,5063
3495,7309,4921
3505,7286,4959
3796,7518,5346
3686,7340,5125
3547,7091,5049
3382,6806,4830
3597,7091,5157
3565,6851,5090
3459,6522,4935
3490,6545,4972
3284,6453,4769
3159,6234,4611
3440,6765,4967
3365,6667,4891
3262,6418,4710
3345,6516,4783
3344,6575,4794
3426,6867,4904
3482,6864,4933
